Gamma_GHz,P_QPP_L_3_um,Err_L_3_um,P_QPP_L_5_um,Err_L_5_um,P_QPP_L_10_um,Err_L_10_um
5,0.00236457601134161,0.000225164317578898,0.00404003586865852,0.000290822323538072,0.00851079622572279,0.000753688995513653
7.92446596230557,0.00332164521449784,0.000321556920039534,0.00616878040188744,0.000512810021186371,0.0125905430618454,0.000795945046462796
12.5594321575479,0.00536919724633011,0.000244468753033469,0.0100064061259218,0.000655714844867892,0.0205158456810808,0.00115757370307903
19.9053585276749,0.00727217354813996,0.000608634264502274,0.0152955620010054,0.000951098193413225,0.0239627381386866,0.00124342824077272
31.5478672240097,0.0101461389180343,0.000691307715638004,0.0156895855833444,0.000816242680473169,0.0330113304670345,0.00271704946246586
50,0.0102622923321734,0.00056155369883738,0.0178499269741435,0.00128966690706892,0.0350057440732718,0.00178963860211947
79.2446596230557,0.00884223094516701,0.000559217898310283,0.0146838291399179,0.000986165579266699,0.0295505264538144,0.00141128566391895
125.594321575479,0.0066611155569196,0.000260523552317614,0.0114488853755698,0.00045635627205262,0.0228787560812033,0.000834266326862396
199.053585276749,0.00450502567301245,0.000100611473044965,0.00829235064316282,0.000256244397156996,0.0185748250692446,0.000856961948363445
315.478672240097,0.0031212331630054,0.000132729410964568,0.00566385951690799,0.00037162133247205,0.0113532726891174,0.000618482497021732
500,0.00202578828128912,0.000133867038988457,0.00360424412874126,0.000253607624544154,0.00753721042002639,0.000532190206251101
