Gamma_GHz,P_QPP_num_L_a,Err_L_a,P_QPP_inco_L_a,P_QPP_num_L_b,Err_L_b,P_QPP_inco_L_b,P_QPP_num_L_c,Err_L_c,P_QPP_inco_L_c,F_factor_L_a,F_factor_L_b,F_factor_L_c,F_Gamma_over_4Delta_L_a,F_Gamma_over_4Delta_L_b,F_Gamma_over_4Delta_L_c
5,0.00236457601134161,0.000225164317578898,0.0027301752982492,0.00404003586865852,0.000290822323538072,0.00455029216374866,0.00851079622572279,0.000753688995513653,0.00904370567545046,0.866089445926043,0.88786295984349,0.941073994571244,0.190686639387114,0.195480507059901,0.207195963746591
7.92446596230557,0.00332164521449784,0.000321556920039534,0.00432703624442064,0.00616878040188744,0.000512810021186371,0.0072117270740344,0.0125905430618454,0.000795945046462796,0.0143333075596434,0.767649038942263,0.855381843844027,0.878411560587392,0.267867626225941,0.298481587813858,0.306517702292944
12.5594321575479,0.00536919724633011,0.000244468753033469,0.00685789028731477,0.0100064061259218,0.000655714844867892,0.0114298171455246,0.0205158456810808,0.00115757370307903,0.0227167615767302,0.782922593011099,0.875465110116814,0.903114892137447,0.43298848258565,0.48416831110759,0.499459780874599
19.9053585276749,0.00727217354813996,0.000608634264502274,0.0108690236310104,0.0152955620010054,0.000951098193413225,0.0181150393850173,0.0239627381386866,0.00124342824077272,0.0360036407777219,0.669073303639873,0.84435709334732,0.665564304638718,0.586450310027413,0.740088532113825,0.583374632757197
31.5478672240097,0.0101461389180343,0.000691307715638004,0.0172262415614873,0.0156895855833444,0.000816242680473169,0.0287104026024789,0.0330113304670345,0.00271704946246586,0.0570619251724267,0.588993187040752,0.546477379665507,0.578517643196976,0.818215664776635,0.759153691972111,0.803663282408521
50,0.0102622923321734,0.00056155369883738,0.027301752982492,0.0178499269741435,0.00128966690706892,0.0455029216374866,0.0350057440732718,0.00178963860211947,0.0904370567545046,0.375884007842074,0.392280898276172,0.387073013314625,0.82758263123882,0.863683613048312,0.852217429199711
79.2446596230557,0.00884223094516701,0.000559217898310283,0.0432703624442064,0.0146838291399179,0.000986165579266699,0.072117270740344,0.0295505264538144,0.00141128566391895,0.143333075596434,0.204348437260454,0.203610438791931,0.206166834353129,0.713064539068035,0.710489327117089,0.719409752675312
125.594321575479,0.0066611155569196,0.000260523552317614,0.0685789028731477,0.0114488853755698,0.00045635627205262,0.114298171455246,0.0228787560812033,0.000834266326862396,0.227167615767302,0.0971306812714816,0.100166828828514,0.100713105624347,0.537172725269062,0.553963873402491,0.556985009374435
199.053585276749,0.00450502567301245,0.000100611473044965,0.108690236310104,0.00829235064316282,0.000256244397156996,0.181150393850173,0.0185748250692446,0.000856961948363445,0.360036407777219,0.0414483013925848,0.0457760563856202,0.0515915187131246,0.363299044657062,0.401232306133511,0.452205490482134
315.478672240097,0.0031212331630054,0.000132729410964568,0.172262415614873,0.00566385951690799,0.00037162133247205,0.287104026024789,0.0113532726891174,0.000618482497021732,0.570619251724267,0.0181190606892657,0.0197275517007866,0.0198964066753981,0.251705785621761,0.274050569419536,0.276396263535232
500,0.00202578828128912,0.000133867038988457,0.27301752982492,0.00360424412874126,0.000253607624544154,0.455029216374866,0.00753721042002639,0.000532190206251101,0.904370567545046,0.00741999344360127,0.00792090705176166,0.00833420578965378,0.163365760971941,0.174394360040164,0.18349394528073
